Artikelname;Anbietername;Wirkstoffe;ATC-C. (ADV);ATC 4 Steller;Stoffklasse;;;;;;
CLOPIGAMMA ;AAA Pharma;Clopidogrel;B01AC04;B01A;ANTITHROMBOTISCHE MITTEL;;;;;;
DILTIAGAMMA ;AAA Pharma;Diltiazem hydrochlorid;C08DB01;C08D;SELEKTIVE CALCIUMKANALBLOCKER MIT VORWIEGENDER HERZWIRKUNG;;;;;;
DONEPEZIL ;AAA Pharma;Donepezil hydrochlorid;N06DA02;N06D;ANTIDEMENTIVA;;;;;;
DOXAGAMMA ;AAA Pharma;Doxazosin mesilat;C02CA04;C02C;ANTIADRENERGE MITTEL, PERIPHER WIRKEND;;;;;;
DULOXETIN ;AAA Pharma;Duloxetin hydrochlorid;N06AX21;N06A;ANTIDEPRESSIVA;;;;;;
FLECAGAMMA ;AAA Pharma;Flecainid acetat;C01BC04;C01B;ANTIARRHYTHMIKA, KLASSE I UND III;;;;;;
FLECAINID ;AAA Pharma;Flecainid acetat;C01BC04;C01B;ANTIARRHYTHMIKA, KLASSE I UND III;;;;;;
GABAGAMMA ;AAA Pharma;Gabapentin;N03AX12;N03A;ANTIEPILEPTIKA;;;;;;
GABAPENTIN ;AAA Pharma;Gabapentin;N03AX12;N03A;ANTIEPILEPTIKA;;;;;;
GLIMEPIRID ;AAA Pharma;Glimepirid;A10BB12;A10B;ANTIDIABETIKA, EXKL. INSULINE;;;;;;
HCT ;AAA Pharma;Hydrochlorothiazid;C03AA03;C03A;LOW-CEILING-DIURETIKA, THIAZIDE;;;;;;
LAMOTRIGIN ;AAA Pharma;Lamotrigin;N03AX09;N03A;ANTIEPILEPTIKA;;;;;;
LEVETIRACETAM ;AAA Pharma;Levetiracetam;N03AX14;N03A;ANTIEPILEPTIKA;;;;;;
LEVETIRAGAMMA ;AAA Pharma;Levetiracetam;N03AX14;N03A;ANTIEPILEPTIKA;;;;;;
LOSARGAMMA ;AAA Pharma;Losartan kalium;C09CA01;C09C;ANGIOTENSIN-II-REZEPTORANTAGONISTEN, REIN;;;;;;
MEMANTIGAMMA ;AAA Pharma;Memantin hydrochlorid;N06DX01;N06D;ANTIDEMENTIVA;;;;;;
MEMANTIN ;AAA Pharma;Memantin hydrochlorid;N06DX01;N06D;ANTIDEMENTIVA;;;;;;
METFOGAMMA ;AAA Pharma;Metformin hydrochlorid;A10BA02;A10B;ANTIDIABETIKA, EXKL. INSULINE;;;;;;
METFORMIN ;AAA Pharma;Metformin hydrochlorid;A10BA02;A10B;ANTIDIABETIKA, EXKL. INSULINE;;;;;;
METOPROGAMMA ;AAA Pharma;Metoprolol tartrat;C07AB02;C07A;BETA-ADRENOZEPTORANTAGONISTEN;;;;;;
METOPROLOLSUCCINAT ;AAA Pharma;Metoprolol succinat;C07AB02;C07A;BETA-ADRENOZEPTORANTAGONISTEN;;;;;;
MIRTAGAMMA ;AAA Pharma;Mirtazapin;N06AX11;N06A;ANTIDEPRESSIVA;;;;;;
MIRTAZAPIN ;AAA Pharma;Mirtazapin;N06AX11;N06A;ANTIDEPRESSIVA;;;;;;
MOLSIGAMMA ;AAA Pharma;Molsidomin;C01DX12;C01D;BEI HERZERKRANKUNGEN EINGESETZTE VASODILATATOREN;;;;;;
MOXOGAMMA ;AAA Pharma;Moxonidin;C02AC05;C02A;ANTIADRENERGE MITTEL, ZENTRAL WIRKEND;;;;;;
MOXONIDIN ;AAA Pharma;Moxonidin;C02AC05;C02A;ANTIADRENERGE MITTEL, ZENTRAL WIRKEND;;;;;;
OXYBUGAMMA ;AAA Pharma;Oxybutynin hydrochlorid;G04BD04;G04B;UROLOGIKA;;;;;;
PHENPROGAMMA ;AAA Pharma;Phenprocoumon;B01AA04;B01A;ANTITHROMBOTISCHE MITTEL;;;;;;
PRAMIPEXGAMMA ;AAA Pharma;Pramipexol dihydrochlorid-1-Wasser;N04BC05;N04B;DOPAMINERGE MITTEL;;;;;;
PRAMIPEXOL ;AAA Pharma;Pramipexol dihydrochlorid-1-Wasser;N04BC05;N04B;DOPAMINERGE MITTEL;;;;;;
PRAVASTATIN ;AAA Pharma;Pravastatin natrium;C10AA03;C10A;MITTEL, DIE DEN LIPIDSTOFFWECHSEL BEEINFLUSSEN, REIN;;;;;;
PREGAGAMMA ;AAA Pharma;Pregabalin;N03AX16;N03A;ANTIEPILEPTIKA;;;;;;
RAMIGAMMA ;AAA Pharma;Ramipril;C09AA05;C09A;ACE-HEMMER, REIN;;;;;;
RAMIPRIL ;AAA Pharma;Ramipril;C09AA05;C09A;ACE-HEMMER, REIN;;;;;;
RISPERIDON ;AAA Pharma;Risperidon;N05AX08;N05A;ANTIPSYCHOTIKA;;;;;;
SERTRALIN ;AAA Pharma;Sertralin hydrochlorid;N06AB06;N06A;ANTIDEPRESSIVA;;;;;;
SIMVAGAMMA ;AAA Pharma;Simvastatin;C10AA01;C10A;MITTEL, DIE DEN LIPIDSTOFFWECHSEL BEEINFLUSSEN, REIN;;;;;;
SIMVASTATIN ;AAA Pharma;Simvastatin;C10AA01;C10A;MITTEL, DIE DEN LIPIDSTOFFWECHSEL BEEINFLUSSEN, REIN;;;;;;
SPIRONOLACTON ;AAA Pharma;Spironolacton;C03DA01;C03D;KALIUM SPARENDE MITTEL;;;;;;
TORAGAMMA ;AAA Pharma;Torasemid;C03CA04;C03C;HIGH-CEILING-DIURETIKA;;;;;;
TORASEMID ;AAA Pharma;Torasemid;C03CA04;C03C;HIGH-CEILING-DIURETIKA;;;;;;
VALSARTAN ;AAA Pharma;Valsartan;C09CA03;C09C;ANGIOTENSIN-II-REZEPTORANTAGONISTEN, REIN;;;;;;
VENLAFAXIN ;AAA Pharma;Venlafaxin hydrochlorid;N06AX16;N06A;ANTIDEPRESSIVA;;;;;;
VENLAGAMMA ;AAA Pharma;Venlafaxin hydrochlorid;N06AX16;N06A;ANTIDEPRESSIVA;;;;;;
XIPAMID ;AAA Pharma;Xipamid;C03BA10;C03B;LOW-CEILING-DIURETIKA, EXKL. THIAZIDE;;;;;;
AUREOMYCIN ;Abanta Pharma;Chlortetracyclin hydrochlorid;D10AF07;D10A;AKNEMITTEL ZUR TOPISCHEN ANWENDUNG;;;;;;
CERSON ;Abanta Pharma;Flumetason 21-pivalat;D07AB03;D07A;CORTICOSTEROIDE, REIN;;;;;;
DEXAMETHASON ;Abanta Pharma;Dexamethason;D07AB19;D07A;CORTICOSTEROIDE, REIN;;;;;;
FORENE ;AbbVie;Isofluran;N01AB06;N01A;ALLGEMEINANÄSTHETIKA;;;;;;
HUMIRA ;AbbVie;Adalimumab;L04AB04;L04A;IMMUNSUPPRESSIVA;;;;;;
NORVIR ;AbbVie;Ritonavir;J05AE03;J05A;DIREKT WIRKENDE ANTIVIRALE MITTEL;;;;;;
SEVORANE ;AbbVie;Sevofluran;N01AB08;N01A;ALLGEMEINANÄSTHETIKA;;;;;;
SYNAGIS ;AbbVie;Palivizumab;J06BB16;J06B;IMMUNGLOBULINE;;;;;;
VENCLYXTO ;AbbVie;Venetoclax;L01XX;L01X;ANDERE ANTINEOPLASTISCHE MITTEL;;;;;;
ZEMPLAR ;AbbVie;Paricalcitol;H05BX02;H05B;NEBENSCHILDDRÜSENHORMONANTAGONISTEN;;;;;;
ACARBOSE ;ABZ Pharma;Acarbose;A10BF01;A10B;ANTIDIABETIKA, EXKL. INSULINE;;;;;;
ACEMETACIN-CT ;ABZ Pharma;Acemetacin;M01AB11;M01A;NICHTSTEROIDALE ANTIPHLOGISTIKA UND ANTIRHEUMATIKA;;;;;;
ACICLOVIR-CT ;ABZ Pharma;Aciclovir;D06BB03;D06B;CHEMOTHERAPEUTIKA ZUR TOPISCHEN ANWENDUNG;;;;;;
ALENDRONSÄURE ;ABZ Pharma;Alendronsäure natrium-3-Wasser;M05BA04;M05B;MITTEL MIT EINFLUSS AUF DIE KNOCHENSTRUKTUR UND DIE MINERALISATION;;;;;;
ALENDRONSÄURE-CT ;ABZ Pharma;Alendronsäure natrium-3-Wasser;M05BA04;M05B;MITTEL MIT EINFLUSS AUF DIE KNOCHENSTRUKTUR UND DIE MINERALISATION;;;;;;
ALFUZOSIN ;ABZ Pharma;Alfuzosin hydrochlorid;G04CA01;G04C;MITTEL BEI BENIGNER PROSTATAHYPERPLASIE;;;;;;
ALLO-CT ;ABZ Pharma;Allopurinol;M04AA01;M04A;GICHTMITTEL;;;;;;
ALLOPURINOL ;ABZ Pharma;Allopurinol;M04AA01;M04A;GICHTMITTEL;;;;;;
ALPRAZOLAM ;ABZ Pharma;Alprazolam;N05BA12;N05B;ANXIOLYTIKA;;;;;;
AMANTADIN ;ABZ Pharma;Amantadin hydrochlorid;N04BB01;N04B;DOPAMINERGE MITTEL;;;;;;
AMIODARON-CT ;ABZ Pharma;Amiodaron hydrochlorid;C01BD01;C01B;ANTIARRHYTHMIKA, KLASSE I UND III;;;;;;
AMITRIPTYLIN-CT ;ABZ Pharma;Amitriptylin hydrochlorid;N06AA09;N06A;ANTIDEPRESSIVA;;;;;;
AMLODIPIN ;ABZ Pharma;Amlodipin besilat;C08CA01;C08C;SELEKTIVE CALCIUMKANALBLOCKER MIT VORWIEGENDER GEFÄSSWIRKUNG;;;;;;
AMLODIPIN-CT ;ABZ Pharma;Amlodipin besilat;C08CA01;C08C;SELEKTIVE CALCIUMKANALBLOCKER MIT VORWIEGENDER GEFÄSSWIRKUNG;;;;;;
AMOXICILLIN ;ABZ Pharma;Amoxicillin-3-Wasser;J01CA04;J01C;BETALACTAM-ANTIBIOTIKA, PENICILLINE;;;;;;
AMOXI-CT ;ABZ Pharma;Amoxicillin-3-Wasser;J01CA04;J01C;BETALACTAM-ANTIBIOTIKA, PENICILLINE;;;;;;
ANAGRELID ;ABZ Pharma;Anagrelid hydrochlorid-1-Wasser;L01XX35;L01X;ANDERE ANTINEOPLASTISCHE MITTEL;;;;;;
ANASTROZOL ;ABZ Pharma;Anastrozol;L02BG03;L02B;HORMONANTAGONISTEN UND VERWANDTE MITTEL;;;;;;
ARIPIPRAZOL ;ABZ Pharma;Aripiprazol;N05AX12;N05A;ANTIPSYCHOTIKA;;;;;;
ATENOLOL ;ABZ Pharma;Atenolol;C07AB03;C07A;BETA-ADRENOZEPTORANTAGONISTEN;;;;;;
ATENOLOL-CT ;ABZ Pharma;Atenolol;C07AB03;C07A;BETA-ADRENOZEPTORANTAGONISTEN;;;;;;
ATORVASTATIN ;ABZ Pharma;Atorvastatin hemicalcium;C10AA05;C10A;MITTEL, DIE DEN LIPIDSTOFFWECHSEL BEEINFLUSSEN, REIN;;;;;;
ATORVASTATIN-CT ;ABZ Pharma;Atorvastatin hemicalcium;C10AA05;C10A;MITTEL, DIE DEN LIPIDSTOFFWECHSEL BEEINFLUSSEN, REIN;;;;;;
AZITHROMYCIN ;ABZ Pharma;Azithromycin-2-Wasser;J01FA10;J01F;MAKROLIDE, LINCOSAMIDE UND STREPTOGRAMINE;;;;;;
BEZAFIBRAT ;ABZ Pharma;Bezafibrat;C10AB02;C10A;MITTEL, DIE DEN LIPIDSTOFFWECHSEL BEEINFLUSSEN, REIN;;;;;;
BICALUTAMID ;ABZ Pharma;Bicalutamid;L02BB03;L02B;HORMONANTAGONISTEN UND VERWANDTE MITTEL;;;;;;
BISOPROLOL ;ABZ Pharma;Bisoprolol hemifumarat;C07AB07;C07A;BETA-ADRENOZEPTORANTAGONISTEN;;;;;;
BISOPROLOL-CT ;ABZ Pharma;Bisoprolol hemifumarat;C07AB07;C07A;BETA-ADRENOZEPTORANTAGONISTEN;;;;;;
BROMAZEP-CT ;ABZ Pharma;Bromazepam;N05BA08;N05B;ANXIOLYTIKA;;;;;;
BROMOCRIPTIN ;ABZ Pharma;Bromocriptin mesilat;G02CB01;G02C;ANDERE GYNÄKOLOGIKA;;;;;;
BROMOCRIPTIN-CT ;ABZ Pharma;Bromocriptin mesilat;G02CB01;G02C;ANDERE GYNÄKOLOGIKA;;;;;;
BUPRENORPHIN ;ABZ Pharma;Buprenorphin hydrochlorid;N07BC01;N07B;MITTEL ZUR BEHANDLUNG VON SUCHTERKRANKUNGEN;;;;;;
CABERGOLIN-CT ;ABZ Pharma;Cabergolin;N04BC06;N04B;DOPAMINERGE MITTEL;;;;;;
CANDESARTAN ;ABZ Pharma;Candesartan cilexetil;C09CA06;C09C;ANGIOTENSIN-II-REZEPTORANTAGONISTEN, REIN;;;;;;
CANDESARTANCILEXETIL-CT ;ABZ Pharma;Candesartan cilexetil;C09CA06;C09C;ANGIOTENSIN-II-REZEPTORANTAGONISTEN, REIN;;;;;;
CAPTO-CT ;ABZ Pharma;Captopril;C09AA01;C09A;ACE-HEMMER, REIN;;;;;;
CAPTOPRIL ;ABZ Pharma;Captopril;C09AA01;C09A;ACE-HEMMER, REIN;;;;;;
CARVEDILOL ;ABZ Pharma;Carvedilol;C07AG02;C07A;BETA-ADRENOZEPTORANTAGONISTEN;;;;;;
CARVEDILOL-CT ;ABZ Pharma;Carvedilol;C07AG02;C07A;BETA-ADRENOZEPTORANTAGONISTEN;;;;;;
CEFUROXIM ;ABZ Pharma;Cefuroxim axetil;J01DC02;J01D;ANDERE BETA-LACTAM-ANTIBIOTIKA;;;;;;
CELECOXIB ;ABZ Pharma;Celecoxib;M01AH01;M01A;NICHTSTEROIDALE ANTIPHLOGISTIKA UND ANTIRHEUMATIKA;;;;;;
CEPHALEX-CT ;ABZ Pharma;Cefalexin-1-Wasser;J01DB01;J01D;ANDERE BETA-LACTAM-ANTIBIOTIKA;;;;;;
CIPROFLOXACIN ;ABZ Pharma;Ciprofloxacin hydrochlorid-1-Wasser;J01MA02;J01M;CHINOLONE;;;;;;
CIPROFLOX-CT ;ABZ Pharma;Ciprofloxacin hydrochlorid-1-Wasser;J01MA02;J01M;CHINOLONE;;;;;;
CITALOPRAM ;ABZ Pharma;Citalopram hydrobromid;N06AB04;N06A;ANTIDEPRESSIVA;;;;;;
CITALOPRAM-CT ;ABZ Pharma;Citalopram hydrobromid;N06AB04;N06A;ANTIDEPRESSIVA;;;;;;
CLARITHROMYCIN ;ABZ Pharma;Clarithromycin;J01FA09;J01F;MAKROLIDE, LINCOSAMIDE UND STREPTOGRAMINE;;;;;;
CLINDAMYCIN ;ABZ Pharma;Clindamycin hydrochlorid;J01FF01;J01F;MAKROLIDE, LINCOSAMIDE UND STREPTOGRAMINE;;;;;;
CLINDAMYCIN-CT ;ABZ Pharma;Clindamycin hydrochlorid;J01FF01;J01F;MAKROLIDE, LINCOSAMIDE UND STREPTOGRAMINE;;;;;;
CLOPIDOGREL ;ABZ Pharma;Clopidogrel besilat;B01AC04;B01A;ANTITHROMBOTISCHE MITTEL;;;;;;
CLOPIDOGREL-CT ;ABZ Pharma;Clopidogrel besilat;B01AC04;B01A;ANTITHROMBOTISCHE MITTEL;;;;;;
CLOZAPIN ;ABZ Pharma;Clozapin;N05AH02;N05A;ANTIPSYCHOTIKA;;;;;;
COTRIM-CT ;ABZ Pharma;Co-trimoxazol;J01EE01;J01E;SULFONAMIDE UND TRIMETHOPRIM;;;;;;
DESLORATADIN ;ABZ Pharma;Desloratadin;R06AX27;R06A;ANTIHISTAMINIKA ZUR SYSTEMISCHEN ANWENDUNG;;;;;;
DEXA-CT ;ABZ Pharma;Dexamethason dihydrogenphosphat-Dinatrium;H02AB02;H02A;CORTICOSTEROIDE ZUR SYSTEMISCHEN ANWENDUNG, REIN;;;;;;
DEXAMETHASON ;ABZ Pharma;Dexamethason dihydrogenphosphat-Dinatrium;H02AB02;H02A;CORTICOSTEROIDE ZUR SYSTEMISCHEN ANWENDUNG, REIN;;;;;;
DIAZEPAM ;ABZ Pharma;Diazepam;N05BA01;N05B;ANXIOLYTIKA;;;;;;
DIAZEP-CT ;ABZ Pharma;Diazepam;N05BA01;N05B;ANXIOLYTIKA;;;;;;
DICLO-CT ;ABZ Pharma;Diclofenac natrium;M01AB05;M01A;NICHTSTEROIDALE ANTIPHLOGISTIKA UND ANTIRHEUMATIKA;;;;;;
DICLOFENAC ;ABZ Pharma;Diclofenac natrium;M01AB05;M01A;NICHTSTEROIDALE ANTIPHLOGISTIKA UND ANTIRHEUMATIKA;;;;;;
DILTIAZEM ;ABZ Pharma;Diltiazem hydrochlorid;C08DB01;C08D;SELEKTIVE CALCIUMKANALBLOCKER MIT VORWIEGENDER HERZWIRKUNG;;;;;;
DOMPERIDON ;ABZ Pharma;Domperidon maleat;A03FA03;A03F;PROKINETIKA;;;;;;
DOMPERIDON-CT ;ABZ Pharma;Domperidon maleat;A03FA03;A03F;PROKINETIKA;;;;;;
DONEPEZIL ;ABZ Pharma;Donepezil hydrochlorid;N06DA02;N06D;ANTIDEMENTIVA;;;;;;
DOXAZOSIN ;ABZ Pharma;Doxazosin mesilat;C02CA04;C02C;ANTIADRENERGE MITTEL, PERIPHER WIRKEND;;;;;;
DOXAZOSIN-CT ;ABZ Pharma;Doxazosin mesilat;C02CA04;C02C;ANTIADRENERGE MITTEL, PERIPHER WIRKEND;;;;;;
DOXY-CT ;ABZ Pharma;Doxycyclin-1-Wasser;J01AA02;J01A;TETRACYCLINE;;;;;;
DOXYCYCLIN ;ABZ Pharma;Doxycyclin-1-Wasser;J01AA02;J01A;TETRACYCLINE;;;;;;
DULOXETIN ;ABZ Pharma;Duloxetin hydrochlorid;G04BX18;G04B;UROLOGIKA;;;;;;
ENALAPRIL ;ABZ Pharma;Enalapril maleat;C09AA02;C09A;ACE-HEMMER, REIN;;;;;;
ENALAPRIL-CT ;ABZ Pharma;Enalapril maleat;C09AA02;C09A;ACE-HEMMER, REIN;;;;;;
EPLERENON ;ABZ Pharma;Eplerenon;C03DA04;C03D;KALIUM SPARENDE MITTEL;;;;;;
ESCITALOPRAM ;ABZ Pharma;Escitalopram oxalat;N06AB10;N06A;ANTIDEPRESSIVA;;;;;;
ESOMEPRAZOL ;ABZ Pharma;Esomeprazol hemimagnesium-1-Wasser;A02BC05;A02B;MITTEL BEI PEPTISCHEM ULKUS UND GASTROESOPHAGEALER REFLUXKRANKHEIT;;;;;;
ESOMEPRAZOL-CT ;ABZ Pharma;Esomeprazol hemimagnesium-1-Wasser;A02BC05;A02B;MITTEL BEI PEPTISCHEM ULKUS UND GASTROESOPHAGEALER REFLUXKRANKHEIT;;;;;;
ETORICOX ;ABZ Pharma;Etoricoxib;M01AH05;M01A;NICHTSTEROIDALE ANTIPHLOGISTIKA UND ANTIRHEUMATIKA;;;;;;
EXEMESTAN ;ABZ Pharma;Exemestan;L02BG06;L02B;HORMONANTAGONISTEN UND VERWANDTE MITTEL;;;;;;
FAMOTIDIN-CT ;ABZ Pharma;Famotidin;A02BA03;A02B;MITTEL BEI PEPTISCHEM ULKUS UND GASTROESOPHAGEALER REFLUXKRANKHEIT;;;;;;
FELODIPIN ;ABZ Pharma;Felodipin;C08CA02;C08C;SELEKTIVE CALCIUMKANALBLOCKER MIT VORWIEGENDER GEFÄSSWIRKUNG;;;;;;
FELODIPIN-CT ;ABZ Pharma;Felodipin;C08CA02;C08C;SELEKTIVE CALCIUMKANALBLOCKER MIT VORWIEGENDER GEFÄSSWIRKUNG;;;;;;
FENTANYL ;ABZ Pharma;Fentanyl;N02AB03;N02A;OPIOIDE;;;;;;
FINASTERID ;ABZ Pharma;Finasterid;G04CB01;G04C;MITTEL BEI BENIGNER PROSTATAHYPERPLASIE;;;;;;
FLUCONAZOL ;ABZ Pharma;Fluconazol;J02AC01;J02A;ANTIMYKOTIKA ZUR SYSTEMISCHEN ANWENDUNG;;;;;;
FLUCONAZOL-CT ;ABZ Pharma;Fluconazol;J02AC01;J02A;ANTIMYKOTIKA ZUR SYSTEMISCHEN ANWENDUNG;;;;;;
FLUNARIZIN-CT ;ABZ Pharma;Flunarizin dihydrochlorid;N07CA03;N07C;ANTIVERTIGINOSA;;;;;;
FLUOXETIN ;ABZ Pharma;Fluoxetin hydrochlorid;N06AB03;N06A;ANTIDEPRESSIVA;;;;;;
FLUOXETIN-CT ;ABZ Pharma;Fluoxetin hydrochlorid;N06AB03;N06A;ANTIDEPRESSIVA;;;;;;
FURO-CT ;ABZ Pharma;Furosemid;C03CA01;C03C;HIGH-CEILING-DIURETIKA;;;;;;
FUROSEMID ;ABZ Pharma;Furosemid;C03CA01;C03C;HIGH-CEILING-DIURETIKA;;;;;;
GABAPENTIN ;ABZ Pharma;Gabapentin;N03AX12;N03A;ANTIEPILEPTIKA;;;;;;
GLIBENCLAMID ;ABZ Pharma;Glibenclamid;A10BB01;A10B;ANTIDIABETIKA, EXKL. INSULINE;;;;;;
GLIBEN-CT ;ABZ Pharma;Glibenclamid;A10BB01;A10B;ANTIDIABETIKA, EXKL. INSULINE;;;;;;
GLIMEPIRID ;ABZ Pharma;Glimepirid;A10BB12;A10B;ANTIDIABETIKA, EXKL. INSULINE;;;;;;
GLIMEPIRID-CT ;ABZ Pharma;Glimepirid;A10BB12;A10B;ANTIDIABETIKA, EXKL. INSULINE;;;;;;
HCT ;ABZ Pharma;Hydrochlorothiazid;C03AA03;C03A;LOW-CEILING-DIURETIKA, THIAZIDE;;;;;;
HCT-CT ;ABZ Pharma;Hydrochlorothiazid;C03AA03;C03A;LOW-CEILING-DIURETIKA, THIAZIDE;;;;;;
HYDROMORPHON ;ABZ Pharma;Hydromorphon hydrochlorid;N02AA03;N02A;OPIOIDE;;;;;;
IBUPROFEN ;ABZ Pharma;Ibuprofen;M01AE01;M01A;NICHTSTEROIDALE ANTIPHLOGISTIKA UND ANTIRHEUMATIKA;;;;;;
IBUPROFEN-CT ;ABZ Pharma;Ibuprofen;M01AE01;M01A;NICHTSTEROIDALE ANTIPHLOGISTIKA UND ANTIRHEUMATIKA;;;;;;
INDO-CT ;ABZ Pharma;Indometacin;M01AB01;M01A;NICHTSTEROIDALE ANTIPHLOGISTIKA UND ANTIRHEUMATIKA;;;;;;
IRBESARTAN ;ABZ Pharma;Irbesartan;C09CA04;C09C;ANGIOTENSIN-II-REZEPTORANTAGONISTEN, REIN;;;;;;
ISDN-CT ;ABZ Pharma;Isosorbid dinitrat;C01DA08;C01D;BEI HERZERKRANKUNGEN EINGESETZTE VASODILATATOREN;;;;;;
ISMN ;ABZ Pharma;Isosorbid mononitrat;C01DA14;C01D;BEI HERZERKRANKUNGEN EINGESETZTE VASODILATATOREN;;;;;;
ITRACONAZOL ;ABZ Pharma;Itraconazol;J02AC02;J02A;ANTIMYKOTIKA ZUR SYSTEMISCHEN ANWENDUNG;;;;;;
ITRACONAZOL-CT ;ABZ Pharma;Itraconazol;J02AC02;J02A;ANTIMYKOTIKA ZUR SYSTEMISCHEN ANWENDUNG;;;;;;
LAMOTRIGIN ;ABZ Pharma;Lamotrigin;N03AX09;N03A;ANTIEPILEPTIKA;;;;;;
LAMOTRIGIN-CT ;ABZ Pharma;Lamotrigin;N03AX09;N03A;ANTIEPILEPTIKA;;;;;;
LANSOPRAZOL ;ABZ Pharma;Lansoprazol;A02BC03;A02B;MITTEL BEI PEPTISCHEM ULKUS UND GASTROESOPHAGEALER REFLUXKRANKHEIT;;;;;;
LATANOPROST ;ABZ Pharma;Latanoprost;S01EE01;S01E;GLAUKOMMITTEL UND MIOTIKA;;;;;;
LETROZOL ;ABZ Pharma;Letrozol;L02BG04;L02B;HORMONANTAGONISTEN UND VERWANDTE MITTEL;;;;;;
LEVETIRACETAM ;ABZ Pharma;Levetiracetam;N03AX14;N03A;ANTIEPILEPTIKA;;;;;;
LEVETIRACETAM-CT ;ABZ Pharma;Levetiracetam;N03AX14;N03A;ANTIEPILEPTIKA;;;;;;
LEVOCETIRIZIN ;ABZ Pharma;Levocetirizin dihydrochlorid;R06AE09;R06A;ANTIHISTAMINIKA ZUR SYSTEMISCHEN ANWENDUNG;;;;;;
LEVOCETIRIZIN-CT ;ABZ Pharma;Levocetirizin dihydrochlorid;R06AE09;R06A;ANTIHISTAMINIKA ZUR SYSTEMISCHEN ANWENDUNG;;;;;;
LISINOPRIL ;ABZ Pharma;Lisinopril-2-Wasser;C09AA03;C09A;ACE-HEMMER, REIN;;;;;;
LISINOPRIL-CT ;ABZ Pharma;Lisinopril-2-Wasser;C09AA03;C09A;ACE-HEMMER, REIN;;;;;;
LOPERAMID-CT ;ABZ Pharma;Loperamid hydrochlorid;A07DA03;A07D;MOTILITÄTSHEMMER;;;;;;
LOSARTAN ;ABZ Pharma;Losartan kalium;C09CA01;C09C;ANGIOTENSIN-II-REZEPTORANTAGONISTEN, REIN;;;;;;
LOSARTAN-CT ;ABZ Pharma;Losartan kalium;C09CA01;C09C;ANGIOTENSIN-II-REZEPTORANTAGONISTEN, REIN;;;;;;
L-THYROXIN-Na ;ABZ Pharma;Levothyroxin natrium;H03AA01;H03A;SCHILDDRÜSENPRÄPARATE;;;;;;
L-THYROXIN-Na-CT ;ABZ Pharma;Levothyroxin natrium;H03AA01;H03A;SCHILDDRÜSENPRÄPARATE;;;;;;
MAPROTILIN-CT ;ABZ Pharma;Maprotilin hydrochlorid;N06AA21;N06A;ANTIDEPRESSIVA;;;;;;
MARCUPHEN ;ABZ Pharma;Phenprocoumon;B01AA04;B01A;ANTITHROMBOTISCHE MITTEL;;;;;;
MCP ;ABZ Pharma;Metoclopramid hydrochlorid-1-Wasser;A03FA01;A03F;PROKINETIKA;;;;;;
MCP-CT ;ABZ Pharma;Metoclopramid hydrochlorid-1-Wasser;A03FA01;A03F;PROKINETIKA;;;;;;
MELPERON ;ABZ Pharma;Melperon hydrochlorid;N05AD03;N05A;ANTIPSYCHOTIKA;;;;;;
MELPERON-CT ;ABZ Pharma;Melperon hydrochlorid;N05AD03;N05A;ANTIPSYCHOTIKA;;;;;;
MEMANTIN ;ABZ Pharma;Memantin hydrochlorid;N06DX01;N06D;ANTIDEMENTIVA;;;;;;
METAMIZOL ;ABZ Pharma;Metamizol natrium-1-Wasser;N02BB02;N02B;ANDERE ANALGETIKA UND ANTIPYRETIKA;;;;;;
METFORMIN ;ABZ Pharma;Metformin hydrochlorid;A10BA02;A10B;ANTIDIABETIKA, EXKL. INSULINE;;;;;;
METFORMIN-CT ;ABZ Pharma;Metformin hydrochlorid;A10BA02;A10B;ANTIDIABETIKA, EXKL. INSULINE;;;;;;
METOPROLOL ;ABZ Pharma;Metoprolol tartrat;C07AB02;C07A;BETA-ADRENOZEPTORANTAGONISTEN;;;;;;
METOPROLOL-CT ;ABZ Pharma;Metoprolol tartrat;C07AB02;C07A;BETA-ADRENOZEPTORANTAGONISTEN;;;;;;
METOPROLOLSUCCINAT ;ABZ Pharma;Metoprolol succinat;C07AB02;C07A;BETA-ADRENOZEPTORANTAGONISTEN;;;;;;
MIRTAZAPIN-CT ;ABZ Pharma;Mirtazapin;N06AX11;N06A;ANTIDEPRESSIVA;;;;;;
MOMETASONFUROAT ;ABZ Pharma;Mometason furoat-1-Wasser;R01AD09;R01A;DEKONGESTIVA UND ANDERE RHINOLOGIKA ZUR TOPISCHEN ANWENDUNG;;;;;;
MONTELUKAST ;ABZ Pharma;Montelukast natrium;R03DC03;R03D;ANDERE MITTEL BEI OBSTRUKTIVEN ATEMWEGSERKRANKUNGEN ZUR SYSTEMISCHEN ANWENDUNG;;;;;;
MORPHINSULFAT ;ABZ Pharma;Morphin sulfat;N02AA01;N02A;OPIOIDE;;;;;;
MOXIFLOXACIN ;ABZ Pharma;Moxifloxacin;J01MA14;J01M;CHINOLONE;;;;;;
MOXONIDIN ;ABZ Pharma;Moxonidin;C02AC05;C02A;ANTIADRENERGE MITTEL, ZENTRAL WIRKEND;;;;;;
MOXONIDIN-CT ;ABZ Pharma;Moxonidin;C02AC05;C02A;ANTIADRENERGE MITTEL, ZENTRAL WIRKEND;;;;;;
